epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.01026,2.27937,4.87767,2.12628,0.00431,0.02273,0.00401,0.00157,1.96228,5.03955,1.94647,6.25e-05,6.25e-05,6.25e-05
2,5.68487,1.854,3.51864,1.90077,0.93916,0.20351,0.27546,0.2049,0.87466,3.76806,1.20002,0.000130694,0.000130694,0.000130694
3,9.68593,1.14822,1.39832,1.38803,0.41019,0.57374,0.48116,0.34522,0.79242,1.46438,1.04049,0.000191463,0.000191463,0.000191463
4,12.3587,0.88291,1.01009,1.17411,0.61585,0.543,0.58916,0.42461,0.74795,1.08406,0.99933,0.000244806,0.000244806,0.000244806
5,14.9715,0.86442,0.92527,1.1372,0.773,0.64544,0.73604,0.5156,0.81075,0.90356,1.04944,0.000290725,0.000290725,0.000290725
6,17.5857,0.86306,0.85513,1.1053,0.78164,0.62222,0.71434,0.49478,0.77706,0.93767,1.02904,0.000329219,0.000329219,0.000329219
7,20.1516,0.75699,0.65371,1.03554,0.81461,0.69789,0.74859,0.53282,0.74163,0.84227,0.97627,0.000360287,0.000360287,0.000360287
8,22.7943,0.76531,0.70464,1.03715,0.8486,0.73589,0.7865,0.58736,0.73436,0.82791,1.01747,0.000383931,0.000383931,0.000383931
9,25.4359,0.71409,0.58159,0.99909,0.86463,0.70555,0.80703,0.58452,0.68171,0.73459,0.94544,0.00040015,0.00040015,0.00040015
10,27.9207,0.72044,0.58115,0.99046,0.78746,0.7989,0.88737,0.65313,0.65334,0.83477,0.93644,0.000408944,0.000408944,0.000408944
11,37.4709,0.61477,0.54827,0.95801,0.8567,0.82253,0.88947,0.63931,0.62879,0.58395,0.92239,0.000410313,0.000410313,0.000410313
12,39.9251,0.63968,0.52635,0.97196,0.75522,0.84472,0.88175,0.62071,0.61465,0.58614,0.92003,0.000404256,0.000404256,0.000404256
13,42.3786,0.58301,0.47357,0.96071,0.92149,0.83277,0.93289,0.67269,0.59665,0.52068,0.91647,0.000390775,0.000390775,0.000390775
14,44.8748,0.60376,0.46228,0.94822,0.86851,0.85886,0.93073,0.68667,0.60224,0.47402,0.90538,0.000369869,0.000369869,0.000369869
15,47.3562,0.54447,0.41369,0.92928,0.90234,0.84852,0.9243,0.69687,0.60118,0.42954,0.90808,0.000341538,0.000341538,0.000341538
16,49.8671,0.56437,0.38369,0.93578,0.89258,0.79829,0.93005,0.71297,0.55922,0.40401,0.89112,0.000305781,0.000305781,0.000305781
17,52.3788,0.54721,0.38382,0.91545,0.87537,0.82917,0.94613,0.73414,0.54854,0.38174,0.88417,0.00026,0.00026,0.00026
18,54.8644,0.50639,0.35347,0.89501,0.91557,0.89984,0.9674,0.75701,0.57514,0.34295,0.8909,0.000198125,0.000198125,0.000198125
19,57.3147,0.51458,0.35508,0.90158,0.90658,0.93854,0.96945,0.7556,0.58591,0.33468,0.89418,0.00013625,0.00013625,0.00013625
20,59.776,0.53193,0.41156,0.9342,0.98976,0.93051,0.97402,0.76365,0.55453,0.30794,0.8777,7.4375e-05,7.4375e-05,7.4375e-05
